Model,Acc,Cell Acc
gemini-2.5-pro-preview-06-05-thinking,46.6,51.03
gemini-2.5-pro-preview-06-05,45.9,51.45
doubao-seed-1-6-250615,45.2,51.76
gemini-2.5-pro-preview-05-06-thinking,44.4,49.56
o4-mini-2025-04-16,44.1,42.73
doubao-seed-1-6-thinking-250615,44.1,49.53
deepseek-r1-250528,44.0,50.51
doubao-1.5-thinking-pro-250415,43.2,50.34
deepseek-reasoner,38.4,47.24
gemini-2.5-pro-preview-05-06,37.1,43.53
openrouter:grok-3-mini-beta,35.3,38.19
gemini-2.5-flash-preview-04-17-thinking,34.8,38.71
claude-sonnet-4-20250514-thinking,32.6,42.18
openrouter:qwq-32b,31.1,37.1
glm-z1-32b,28.7,40.57
claude-sonnet-4-20250514,28.2,41.43
claude-3-7-sonnet-20250219-thinking,27.1,38.37
gpt-4.1,24.6,32.45
doubao-seed-1-6-flash-250615,23.9,36.84
gemini-2.5-flash-preview-04-17,23.8,30.33
claude-3-7-sonnet-20250219,22.1,40.0
deepseek-chat,18.9,28.89
glm-4-32b,18.4,29.24
qwen3-235b-a22b,17.9,34.88
doubao-1.5-pro-32k-250115,17.2,32.91
openrouter:llama-4-maverick,16.4,29.1
qwen3-32b,15.2,33.8
gpt-4o,12.3,22.53
openrouter:mistral-small-3.1-24b-instruct,10.6,23.37
openrouter:gemma-3-27b-it,10.1,31.72
