Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
gpt-5-2025-08-07,86.87,33.23,100.00,17.32,28.53,60.34,79.76,78.35,98.50,9.96,59.29
claude-sonnet-4-20250514-thinking,85.51,27.00,99.19,16.73,15.27,54.99,41.40,77.55,97.25,16.22,53.11
gemini-2.5-pro,68.08,33.59,100.00,16.43,14.78,51.78,36.98,79.12,96.12,20.68,51.76
deepseek-reasoner,87.50,26.01,93.66,17.39,21.46,45.12,36.66,75.66,98.94,6.09,50.85
deepseek-r1-250528,87.79,24.49,96.17,17.69,19.70,47.46,33.97,74.60,97.00,5.86,50.47
doubao-1.5-thinking-pro-250415,85.89,31.13,92.25,16.65,13.20,39.14,37.82,77.34,95.81,6.36,49.56
o4-mini-2025-04-16,83.75,13.89,98.19,17.00,23.31,50.05,36.90,65.85,95.19,1.74,48.59
glm-4.5,86.29,23.34,97.89,16.95,11.40,44.30,28.31,75.78,93.12,5.67,48.30
doubao-seed-1-6-250615,69.38,27.79,94.76,16.44,19.77,42.70,39.50,69.35,96.56,5.76,48.20
claude-3-7-sonnet-20250219-thinking,83.64,28.00,92.04,15.76,8.64,49.55,34.46,76.01,88.12,4.45,48.07
qwen3-32b,85.22,26.27,97.48,14.69,12.52,27.09,34.61,76.49,97.62,2.82,47.48
qwen3-235b-a22b,86.93,27.05,95.57,15.53,9.78,31.13,35.57,76.09,92.38,2.43,47.25
doubao-seed-1-6-thinking-250615,85.19,29.12,91.44,16.40,16.50,46.79,30.98,62.04,90.94,2.51,47.19
openrouter:grok-4,84.07,14.03,98.49,17.54,19.62,82.03,36.58,3.33,99.44,6.40,46.15
openrouter:gpt-oss-120b,82.54,5.51,89.12,16.98,9.87,35.47,54.75,71.76,87.38,1.96,45.53
claude-sonnet-4-20250514,73.48,25.30,75.13,16.30,7.00,36.90,31.42,75.68,85.00,4.77,43.10
openrouter:qwq-32b,71.52,20.32,98.99,12.38,9.22,24.13,11.68,76.09,90.06,1.23,41.56
gemini-2.5-flash,40.58,13.25,99.19,17.00,11.25,44.65,30.63,72.01,80.25,5.81,41.46
claude-3-7-sonnet-20250219,66.84,24.95,73.31,15.53,6.65,37.70,24.34,75.83,77.69,4.10,40.69
openrouter:gpt-oss-20b,79.31,0.78,79.25,17.32,5.42,33.44,47.45,53.37,81.69,0.38,39.84
gpt-5-chat-2025-08-07,76.91,21.91,66.67,15.68,7.76,32.63,35.65,68.17,69.25,3.26,39.79
openrouter:grok-3-mini-beta,84.21,20.07,91.14,13.96,9.00,29.52,14.17,47.98,83.06,3.85,39.70
openrouter:kimi-k2-0905,40.00,18.80,86.61,15.20,5.25,31.10,32.19,62.14,88.44,2.35,38.21
glm-4.5-air,86.23,13.16,96.78,13.88,10.03,33.70,14.37,26.92,85.31,0.28,38.07
deepseek-v3-1-250821,68.60,14.93,69.39,17.90,7.72,39.77,11.87,69.38,57.50,1.00,35.81
gpt-4.1,77.81,20.32,41.69,15.10,6.54,27.56,22.04,61.42,73.12,0.92,34.65
doubao-seed-1-6-flash-250615,60.14,14.68,61.83,15.46,4.95,13.82,14.96,73.91,65.31,1.52,32.66
doubao-1.5-pro-32k-250115,48.23,19.40,59.92,7.51,5.88,29.13,18.83,74.20,61.56,0.52,32.52
deepseek-chat,65.43,1.68,78.45,16.56,3.64,36.11,5.28,52.55,62.62,0.81,32.31
openrouter:llama-4-maverick,45.86,21.91,65.66,12.79,4.29,26.65,10.98,43.58,62.75,2.25,29.67
openrouter:gemma-3-27b-it,43.75,17.72,49.85,18.64,3.46,13.84,20.37,67.05,53.81,1.50,29.00
openrouter:mistral-small-3.1-24b-instruct,24.36,17.26,61.83,4.81,2.85,21.04,6.02,72.03,61.75,2.68,27.46
gpt-4o,30.25,13.66,19.03,8.16,2.87,28.81,15.53,61.40,54.25,1.20,23.52
