Model,Acc,Cell Acc
gpt-5-2025-08-07,54.5,58.42
openrouter:grok-4,51.3,46.07
claude-sonnet-4-20250514-thinking,46.7,52.76
gemini-2.5-pro,45.9,49.52
deepseek-reasoner,44.2,50.44
deepseek-r1-250528,44.0,50.87
doubao-seed-1-6-250615,43.0,49.78
glm-4.5,42.3,48.93
qwen3-32b,40.8,47.94
doubao-1.5-thinking-pro-250415,40.7,49.49
doubao-seed-1-6-thinking-250615,40.4,46.01
claude-3-7-sonnet-20250219-thinking,40.3,48.6
openrouter:gpt-oss-120b,40.3,45.97
gemini-2.5-flash,39.2,42.53
qwen3-235b-a22b,38.9,47.72
openrouter:gpt-oss-20b,37.7,39.93
glm-4.5-air,36.9,37.79
openrouter:grok-3-mini-beta,35.5,40.06
openrouter:qwq-32b,34.8,41.51
openrouter:kimi-k2-0905,34.0,38.63
deepseek-v3-1-250821,30.7,33.01
deepseek-chat,30.1,32.18
claude-sonnet-4-20250514,29.7,43.45
gpt-5-chat-2025-08-07,28.3,40.31
claude-3-7-sonnet-20250219,23.4,40.92
gpt-4.1,23.2,35.12
doubao-seed-1-6-flash-250615,20.7,33.69
doubao-1.5-pro-32k-250115,16.7,33.31
openrouter:llama-4-maverick,16.0,28.48
openrouter:mistral-small-3.1-24b-instruct,13.9,29.55
gpt-4o,12.6,23.25
openrouter:gemma-3-27b-it,10.2,29.18
