Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
gemini-2.5-pro-preview-06-05-thinking,26.00,0.00,100.00,99.00,14.00,39.00,56.00,6.00,90.00,36.00,46.60
gemini-2.5-pro-preview-06-05,24.00,0.00,100.00,100.00,14.00,38.00,54.00,5.00,89.00,35.00,45.90
doubao-seed-1-6-250615,30.00,0.00,92.00,100.00,30.00,38.00,53.00,7.00,96.00,6.00,45.20
gemini-2.5-pro-preview-05-06-thinking,25.00,1.00,100.00,99.00,14.00,33.00,54.00,2.00,82.00,34.00,44.40
o4-mini-2025-04-16,22.00,0.00,96.00,96.00,29.00,38.00,62.00,0.00,96.00,2.00,44.10
doubao-seed-1-6-thinking-250615,34.00,7.00,80.00,100.00,30.00,39.00,53.00,0.00,97.00,1.00,44.10
deepseek-r1-250528,33.00,0.00,97.00,97.00,34.00,30.00,49.00,0.00,95.00,5.00,44.00
doubao-1.5-thinking-pro-250415,31.00,1.00,94.00,100.00,23.00,34.00,49.00,0.00,97.00,3.00,43.20
deepseek-reasoner,30.00,0.00,86.00,99.00,13.00,24.00,40.00,0.00,85.00,7.00,38.40
gemini-2.5-pro-preview-05-06,20.00,4.00,96.00,70.00,13.00,40.00,52.00,1.00,39.00,36.00,37.10
openrouter:grok-3-mini-beta,30.00,0.00,82.00,98.00,13.00,17.00,31.00,0.00,78.00,4.00,35.30
gemini-2.5-flash-preview-04-17-thinking,9.00,0.00,92.00,94.00,12.00,23.00,42.00,0.00,68.00,8.00,34.80
claude-sonnet-4-20250514-thinking,11.00,0.00,64.00,95.00,8.00,31.00,32.00,0.00,67.00,18.00,32.60
openrouter:qwq-32b,24.00,0.00,84.00,86.00,8.00,12.00,23.00,0.00,73.00,1.00,31.10
glm-z1-32b,30.00,0.00,78.00,59.00,8.00,17.00,29.00,0.00,65.00,1.00,28.70
claude-sonnet-4-20250514,9.00,0.00,57.00,94.00,4.00,25.00,26.00,0.00,63.00,4.00,28.20
claude-3-7-sonnet-20250219-thinking,15.00,0.00,56.00,85.00,4.00,35.00,19.00,1.00,53.00,3.00,27.10
gpt-4.1,19.00,0.00,42.00,83.00,3.00,17.00,21.00,0.00,60.00,1.00,24.60
doubao-seed-1-6-flash-250615,13.00,0.00,59.00,84.00,4.00,4.00,30.00,0.00,44.00,1.00,23.90
gemini-2.5-flash-preview-04-17,14.00,1.00,25.00,73.00,8.00,25.00,31.00,0.00,53.00,8.00,23.80
claude-3-7-sonnet-20250219,5.00,0.00,48.00,64.00,6.00,27.00,21.00,0.00,49.00,1.00,22.10
deepseek-chat,15.00,0.00,36.00,59.00,4.00,16.00,12.00,0.00,45.00,2.00,18.90
glm-4-32b,1.00,0.00,41.00,65.00,3.00,7.00,16.00,0.00,50.00,1.00,18.40
qwen3-235b-a22b,0.00,0.00,35.00,67.00,2.00,18.00,15.00,0.00,40.00,2.00,17.90
doubao-1.5-pro-32k-250115,2.00,0.00,34.00,63.00,5.00,16.00,13.00,0.00,39.00,0.00,17.20
openrouter:llama-4-maverick,2.00,0.00,33.00,62.00,3.00,15.00,13.00,0.00,34.00,2.00,16.40
qwen3-32b,1.00,0.00,21.00,63.00,2.00,17.00,15.00,0.00,33.00,0.00,15.20
gpt-4o,0.00,0.00,14.00,57.00,1.00,11.00,10.00,0.00,30.00,0.00,12.30
openrouter:mistral-small-3.1-24b-instruct,0.00,0.00,17.00,57.00,0.00,8.00,4.00,0.00,19.00,1.00,10.60
openrouter:gemma-3-27b-it,0.00,0.00,25.00,36.00,0.00,6.00,12.00,0.00,21.00,1.00,10.10
