Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
openrouter:grok-4,87.39,76.10,95.47,17.28,35.98,71.38,73.60,42.75,97.75,16.72,61.44
gpt-5-2025-08-07,87.10,34.19,100.00,17.50,25.85,61.76,80.84,79.83,97.69,13.60,59.84
doubao-seed-1-6-250615,78.82,33.55,93.76,17.20,23.04,45.28,44.51,74.40,98.00,9.02,51.76
gemini-2.5-pro-preview-06-05,69.24,33.11,100.00,16.35,15.70,46.52,38.24,79.97,95.38,19.94,51.45
gemini-2.5-pro-preview-06-05-thinking,64.56,30.90,100.00,15.78,12.29,50.98,41.10,77.93,95.12,21.68,51.03
deepseek-r1-250528,83.64,25.99,98.29,17.24,19.90,47.59,34.36,73.53,98.81,5.78,50.51
doubao-1.5-thinking-pro-250415,84.88,32.49,95.37,16.21,13.93,41.18,38.85,76.97,98.12,5.41,50.34
gemini-2.5-pro-preview-05-06-thinking,70.71,28.87,100.00,17.36,12.10,47.57,36.71,72.16,89.25,20.86,49.56
doubao-seed-1-6-thinking-250615,86.03,28.46,85.90,17.07,21.30,46.42,34.07,73.51,99.38,3.17,49.53
deepseek-reasoner,78.44,29.68,93.45,16.06,13.55,35.38,29.45,76.22,94.31,5.83,47.24
glm-4.5,85.43,11.04,99.09,16.72,14.44,43.27,26.36,72.07,94.56,2.75,46.57
openrouter:gpt-oss-120b,76.42,5.88,96.58,17.33,13.53,34.75,44.51,72.45,90.19,1.83,45.35
gemini-2.5-pro-preview-05-06,54.11,32.30,97.68,20.04,13.72,54.64,33.67,72.70,36.81,19.62,43.53
o4-mini-2025-04-16,56.54,9.65,97.38,17.49,17.89,49.44,39.72,42.30,95.19,1.69,42.73
claude-sonnet-4-20250514-thinking,74.69,21.71,73.82,15.74,8.40,43.87,31.99,73.73,62.19,15.65,42.18
claude-sonnet-4-20250514,73.54,26.08,75.83,15.85,5.76,35.65,28.51,75.28,72.88,4.88,41.43
glm-z1-32b,85.92,19.22,86.10,17.89,8.71,27.45,14.89,59.56,84.00,1.93,40.57
openrouter:gpt-oss-20b,81.24,1.29,81.47,17.04,7.77,25.16,44.41,58.46,84.44,0.61,40.19
openrouter:kimi-k2-0905,44.24,23.29,88.22,13.47,4.83,32.37,30.36,65.12,96.69,2.34,40.09
claude-3-7-sonnet-20250219,68.83,24.70,69.99,16.82,6.88,38.02,22.81,73.82,73.94,4.22,40.00
glm-4.5-air,86.64,10.78,99.30,14.97,9.61,34.10,17.75,33.77,85.94,0.62,39.35
gpt-5-chat-2025-08-07,78.87,22.90,62.03,14.25,8.76,29.78,33.28,67.52,69.00,3.18,38.96
gemini-2.5-flash-preview-04-17-thinking,50.74,10.48,91.84,16.34,10.48,35.88,26.56,72.14,66.12,6.48,38.71
claude-3-7-sonnet-20250219-thinking,59.02,26.24,71.20,15.78,5.94,42.73,26.88,56.05,75.06,4.81,38.37
openrouter:grok-3-mini-beta,85.37,19.52,87.11,11.35,7.53,32.00,17.80,33.26,84.00,3.98,38.19
openrouter:qwq-32b,68.98,16.61,87.21,11.89,7.67,23.77,10.29,64.82,78.38,1.37,37.10
doubao-seed-1-6-flash-250615,72.93,17.63,69.39,16.07,6.14,17.75,23.18,75.31,68.56,1.43,36.84
deepseek-v3-1-250821,68.69,15.07,74.62,17.16,7.13,36.73,12.00,66.74,68.06,1.34,36.75
qwen3-235b-a22b,48.11,22.03,59.92,6.47,4.50,27.96,33.50,76.09,67.62,2.61,34.88
qwen3-32b,53.39,18.73,63.85,10.53,4.84,26.33,23.13,76.60,59.31,1.28,33.80
doubao-1.5-pro-32k-250115,51.43,19.72,62.84,6.71,5.96,28.09,14.76,74.92,64.00,0.67,32.91
gpt-4.1,66.87,17.95,38.87,15.59,6.71,32.26,25.43,69.19,50.25,1.36,32.45
openrouter:gemma-3-27b-it,45.48,20.53,50.96,21.02,3.84,18.20,27.82,76.18,51.44,1.74,31.72
gemini-2.5-flash-preview-04-17,53.22,14.45,15.41,22.09,8.11,42.82,22.78,70.14,47.31,6.97,30.33
glm-4-32b,38.59,18.46,48.84,4.43,4.37,14.80,15.72,73.43,71.62,2.19,29.24
openrouter:llama-4-maverick,44.04,20.58,65.86,12.46,4.61,27.65,12.12,45.41,56.25,2.01,29.10
deepseek-chat,43.03,14.03,46.93,11.00,6.08,23.96,12.56,72.54,57.88,0.90,28.89
openrouter:mistral-small-3.1-24b-instruct,24.70,17.44,52.57,3.64,3.15,20.08,3.46,68.25,39.81,0.59,23.37
gpt-4o,34.75,14.56,20.44,9.35,2.37,24.46,12.59,57.70,47.88,1.23,22.53
