Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
gpt-5-2025-08-07,34.00,12.00,100.00,100.00,49.00,53.00,87.00,13.00,95.00,14.00,55.70
openrouter:grok-4,34.00,13.00,99.00,100.00,43.00,48.00,55.00,4.00,98.00,34.00,52.80
gemini-2.5-pro,27.00,1.00,100.00,99.00,15.00,45.00,57.00,6.00,92.00,37.00,47.90
claude-sonnet-4-20250514-thinking,30.00,1.00,99.00,100.00,21.00,45.00,54.00,2.00,91.00,24.00,46.70
o4-mini-2025-04-16,31.00,0.00,99.00,99.00,38.00,35.00,59.00,6.00,92.00,4.00,46.30
deepseek-r1-250528,35.00,0.00,96.00,100.00,28.00,38.00,50.00,0.00,93.00,4.00,44.40
deepseek-reasoner,35.00,0.00,93.00,99.00,30.00,32.00,51.00,0.00,96.00,3.00,43.90
glm-4.5,34.00,0.00,98.00,100.00,16.00,35.00,49.00,0.00,89.00,7.00,42.80
doubao-seed-1-6-250615,26.00,0.00,94.00,98.00,26.00,37.00,47.00,3.00,93.00,1.00,42.50
doubao-seed-1-6-thinking-250615,31.00,2.00,86.00,98.00,24.00,33.00,46.00,7.00,85.00,2.00,41.40
doubao-1.5-thinking-pro-250415,30.00,0.00,90.00,99.00,19.00,30.00,47.00,1.00,88.00,1.00,40.50
openrouter:gpt-oss-120b,33.00,0.00,88.00,88.00,22.00,16.00,69.00,1.00,81.00,5.00,40.30
qwen3-32b,29.00,0.00,97.00,100.00,14.00,17.00,48.00,1.00,91.00,3.00,40.00
qwen3-235b-a22b,33.00,0.00,94.00,99.00,12.00,22.00,43.00,0.00,87.00,3.00,39.30
claude-3-7-sonnet-20250219-thinking,29.00,0.00,88.00,99.00,11.00,44.00,39.00,2.00,78.00,2.00,39.20
gemini-2.5-flash,15.00,0.00,99.00,97.00,9.00,36.00,37.00,0.00,78.00,13.00,38.40
openrouter:gpt-oss-20b,28.00,0.00,68.00,98.00,14.00,20.00,64.00,1.00,75.00,2.00,37.00
glm-4.5-air,31.00,0.00,93.00,91.00,15.00,27.00,35.00,0.00,76.00,1.00,36.90
openrouter:grok-3-mini-beta,29.00,0.00,87.00,96.00,14.00,15.00,31.00,1.00,75.00,5.00,35.30
openrouter:qwq-32b,25.00,0.00,98.00,98.00,12.00,13.00,24.00,0.00,79.00,0.00,34.90
openrouter:kimi-k2-0905,12.00,1.00,83.00,91.00,4.00,20.00,46.00,0.00,85.00,0.00,34.20
deepseek-v3-1-250821,27.00,0.00,70.00,88.00,8.00,25.00,21.00,0.00,69.00,2.00,31.00
deepseek-chat,23.00,0.00,77.00,81.00,5.00,23.00,21.00,0.00,66.00,4.00,30.00
claude-sonnet-4-20250514,6.00,0.00,54.00,93.00,4.00,30.00,34.00,0.00,74.00,3.00,29.80
gpt-5-chat-2025-08-07,21.00,0.00,60.00,87.00,3.00,20.00,23.00,0.00,56.00,4.00,27.40
gpt-4.1,21.00,0.00,42.00,83.00,6.00,17.00,16.00,0.00,62.00,2.00,24.90
claude-3-7-sonnet-20250219,11.00,0.00,49.00,64.00,5.00,28.00,19.00,0.00,50.00,1.00,22.70
doubao-seed-1-6-flash-250615,8.00,0.00,51.00,84.00,3.00,4.00,22.00,0.00,42.00,1.00,21.50
openrouter:llama-4-maverick,1.00,0.00,34.00,56.00,3.00,18.00,17.00,0.00,40.00,0.00,16.90
doubao-1.5-pro-32k-250115,0.00,0.00,28.00,66.00,3.00,14.00,15.00,0.00,40.00,0.00,16.60
openrouter:mistral-small-3.1-24b-instruct,0.00,0.00,34.00,58.00,1.00,10.00,1.00,0.00,33.00,1.00,13.80
gpt-4o,0.00,0.00,10.00,55.00,2.00,11.00,13.00,0.00,33.00,1.00,12.50
openrouter:gemma-3-27b-it,2.00,0.00,22.00,35.00,1.00,5.00,8.00,0.00,25.00,1.00,9.90
