Model,Acc,Cell Acc
gpt-5-2025-08-07,55.7,59.29
openrouter:grok-4,52.8,46.15
gemini-2.5-pro,47.9,51.76
claude-sonnet-4-20250514-thinking,46.7,53.11
o4-mini-2025-04-16,46.3,48.59
deepseek-r1-250528,44.4,50.47
deepseek-reasoner,43.9,50.85
glm-4.5,42.8,48.3
doubao-seed-1-6-250615,42.5,48.2
doubao-seed-1-6-thinking-250615,41.4,47.19
doubao-1.5-thinking-pro-250415,40.5,49.56
openrouter:gpt-oss-120b,40.3,45.53
qwen3-32b,40.0,47.48
qwen3-235b-a22b,39.3,47.25
claude-3-7-sonnet-20250219-thinking,39.2,48.07
gemini-2.5-flash,38.4,41.46
openrouter:gpt-oss-20b,37.0,39.84
glm-4.5-air,36.9,38.07
openrouter:grok-3-mini-beta,35.3,39.7
openrouter:qwq-32b,34.9,41.56
openrouter:kimi-k2-0905,34.2,38.21
deepseek-v3-1-250821,31.0,35.81
deepseek-chat,30.0,32.31
claude-sonnet-4-20250514,29.8,43.1
gpt-5-chat-2025-08-07,27.4,39.79
gpt-4.1,24.9,34.65
claude-3-7-sonnet-20250219,22.7,40.69
doubao-seed-1-6-flash-250615,21.5,32.66
openrouter:llama-4-maverick,16.9,29.67
doubao-1.5-pro-32k-250115,16.6,32.52
openrouter:mistral-small-3.1-24b-instruct,13.8,27.46
gpt-4o,12.5,23.52
openrouter:gemma-3-27b-it,9.9,29.0
