Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
qwen-2.5-base-sft-full-cutoff,2.00,4.00,14.00,85.00,5.00,23.00,24.00,0.00,100.00,15.00,27.20
qwen-2.5-base-sft-full,0.00,0.00,18.00,80.00,5.00,27.00,24.00,0.00,21.00,15.00,19.00
qwen-2.5-base-rl-grpo,0.00,5.00,7.00,71.00,3.00,10.00,9.00,0.00,82.00,1.00,18.80
qwen-2.5-base-sft-lora-cutoff,0.00,0.00,12.00,56.00,4.00,15.00,14.00,0.00,60.00,1.00,16.20
qwen-2.5-base-sft-lora,0.00,0.00,15.00,75.00,2.00,12.00,6.00,0.00,18.00,0.00,12.80
qwen-2.5-instruct-rl-grpo,0.00,0.00,3.00,80.00,2.00,8.00,5.00,0.00,11.00,0.00,10.90
qwen-2.5-instruct-sft-lora,0.00,0.00,13.00,0.00,3.00,21.00,17.00,0.00,20.00,6.00,8.00
qwen-2.5-base-sft-full-v20250725-1000perTask,0.00,0.00,8.00,30.00,2.00,0.00,0.00,0.00,38.00,1.00,7.90
qwen-2.5-base-rl-grpo-v20250725-all-step500,0.00,0.00,6.00,33.00,1.00,5.00,3.00,0.00,9.00,0.00,5.70
qwen-2.5-instruct-sft-full,0.00,0.00,7.00,0.00,1.00,28.00,3.00,0.00,0.00,16.00,5.50
qwen-2.5-base-grpo-v20250725-1000perTask,0.00,0.00,2.00,27.00,3.00,1.00,3.00,0.00,6.00,0.00,4.20
qwen-2.5-base-sft-lora-v20250725-1000perTask-add3epoch,0.00,0.00,2.00,21.00,1.00,1.00,10.00,0.00,3.00,0.00,3.80
qwen-2.5-instruct,0.00,0.00,6.00,22.00,1.00,0.00,3.00,0.00,5.00,0.00,3.70
qwen-2.5-base-sft-lora-v20250725-1000perTask,0.00,0.00,7.00,19.00,1.00,3.00,4.00,0.00,0.00,1.00,3.50
qwen-2.5-base-sft-lora-v20250725-all,0.00,0.00,4.00,0.00,3.00,2.00,8.00,0.00,3.00,1.00,2.10
qwen-2.5-base,0.00,0.00,1.00,3.00,0.00,1.00,1.00,0.00,2.00,0.00,0.80
qwen-2.5-base-sft-full-v20250725-all,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20
