Model,code,extensible_zebralogic,knights_and_knaves,line_forming_games,maze,string,sudoku,tetris,traditional_zebralogic,train_game_card_puzzle,overall
qwen-2.5-base-sft-full-cutoff,55.99,28.43,66.16,13.58,5.76,34.32,11.87,46.56,100.00,5.65,36.83
qwen-2.5-base-rl-grpo,46.12,19.86,57.80,0.28,3.46,18.05,27.15,58.40,97.56,0.66,32.93
qwen-2.5-base-sft-lora-cutoff,54.63,17.88,57.20,19.52,5.30,28.97,9.97,45.09,76.38,3.20,31.81
qwen-2.5-base-sft-full,53.88,0.00,72.61,12.03,7.54,37.56,13.43,47.37,9.25,3.80,25.75
qwen-2.5-base-sft-full-v20250725-1000perTask,28.66,17.17,54.28,5.51,6.88,8.82,0.02,44.65,72.44,0.66,23.91
qwen-2.5-base-sft-lora,51.40,3.25,70.29,13.85,4.45,16.68,6.02,41.74,25.75,2.44,23.59
qwen-2.5-base-rl-grpo-v20250725-all-step500,32.06,16.84,57.30,10.73,6.42,14.57,13.18,43.31,40.12,0.01,23.45
qwen-2.5-instruct-sft-lora,53.68,1.22,66.47,0.00,5.42,31.58,7.70,43.89,15.31,4.07,22.93
qwen-2.5-base-grpo-v20250725-1000perTask,29.81,17.79,35.75,3.08,4.96,9.54,2.25,42.77,46.25,0.72,19.29
qwen-2.5-base-sft-lora-v20250725-all,12.15,8.59,50.25,0.00,3.93,6.42,15.77,46.09,26.31,0.53,17.00
qwen-2.5-instruct-sft-full,54.46,0.00,14.00,0.00,6.77,34.69,2.54,45.48,0.00,4.08,16.20
qwen-2.5-base-sft-lora-v20250725-1000perTask,33.36,13.85,9.87,9.06,2.99,7.56,7.83,33.38,30.94,0.75,14.96
qwen-2.5-base-sft-lora-v20250725-1000perTask-add3epoch,32.53,12.58,2.42,8.13,2.49,5.83,7.38,36.17,30.94,0.54,13.90
qwen-2.5-instruct-rl-grpo,15.76,0.00,6.14,1.81,4.49,16.48,16.51,46.95,15.38,0.10,12.36
qwen-2.5-instruct,14.40,0.21,7.45,5.44,3.65,15.06,3.16,20.98,17.62,0.23,8.82
qwen-2.5-base,5.31,0.69,3.93,5.80,0.54,11.34,0.07,9.81,7.06,0.07,4.46
qwen-2.5-base-sft-full-v20250725-all,9.67,0.00,0.30,0.00,2.16,10.00,0.00,0.00,0.00,0.29,2.24
